Artist,Track,Popularity,Duration (min),Release Date,Genre,Track ID,Danceability,Energy,Acousticness,Tempo
Lady Gaga,Die With A Smile,100,4.19,2024-08-16,art pop,2plbrEY59IikOBgBGLjaoe,0.521,0.592,0.308,157.969
Billie Eilish,BIRDS OF A FEATHER,99,3.51,2024-05-17,art pop,6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,0.2,104.978
Jimin,Who,94,2.85,2024-07-19,k-pop,7tI8dRuH2Yc6RuoTjxo4dU,0.66,0.756,0.00289,116.034
Sabrina Carpenter,Taste,96,2.62,2024-08-23,pop,5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,0.101,112.964
Sabrina Carpenter,Espresso,83,2.92,2024-08-23,pop,2HRqTpkrJO5ggZyyK6NPWz,0.699,0.776,0.131,103.963
Chappell Roan,"Good Luck, Babe!",97,3.64,2024-04-05,indie pop,0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,0.0502,116.712
Linkin Park,The Emptiness Machine,93,3.17,2024-09-05,alternative metal,2PnlsTsOTLE5jnBnNe2K0A,0.466,0.872,0.0156,184.115
Sabrina Carpenter,Please Please Please,84,3.11,2024-08-23,pop,2tHwzyyOLoWSFqYNjeVMzj,0.675,0.586,0.257,107.015
KAROL G,Si Antes Te Hubiera Conocido,96,3.26,2024-06-21,reggaeton,6WatFBLVB0x077xWeoVc2k,0.924,0.668,0.446,128.027
Benson Boone,Beautiful Things,91,3.01,2024-04-05,singer-songwriter pop,3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,0.151,105.029
Sabrina Carpenter,Bed Chem,92,2.86,2024-08-23,pop,1UHS8Rf6h5Ar3CDWRd3wjF,0.739,0.727,0.0678,94.99
Teddy Swims,Lose Control,91,3.51,2023-09-15,Geen genre beschikbaar,17phhZDn6oGtzMe56NuWvj,0.561,0.604,0.199,159.92
Hozier,Too Sweet,73,4.19,2024-08-19,irish singer-songwriter,19XpFsce28aByvCC4g89tJ,0.74,0.643,0.041,117.025
Shaboozey,A Bar Song (Tipsy),87,2.85,2024-05-31,modern country pop,5fZJQrFKWQLb7FpJXZ1g7K,0.722,0.706,0.072,80.969
Lord Huron,The Night We Met,90,3.47,2015-04-06,indie folk,3hRV0jL3vUpRrcy398teAU,0.448,0.369,0.968,174.097
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",91,4.08,2023-06-23,canadian contemporary r&b,7CyPwkp0oE8Ro9Dd5CUDjW,0.264,0.64,0.0393,84.828
