Artist,Track,Popularity,Duration (min),Release Date,Genre,Track ID,Danceability,Energy,Acousticness,Tempo
Lady Gaga,Die With A Smile,100,4.19,2024-08-16,art pop,2plbrEY59IikOBgBGLjaoe,0.521,0.592,0.308,157.969
Roxy Dekker,Industry Plant,65,2.34,2024-09-20,lustrum,31EsbpCFl01yQtLncNdjSz,0.759,0.676,0.141,111.968
Turfy Gang,Ushuaia,70,2.62,2024-09-06,lustrum,2AeMy7dwvoPuof6xDmncUP,0.607,0.884,0.119,125.982
Yves Berendse,Terug In De Tijd,74,3.12,2023-06-02,kermis,0vrKBjEBQAVn3sdhIXmpHE,0.65,0.767,0.108,122.749
Roxy Dekker,Gaan We Weg?,74,2.36,2024-07-12,lustrum,02nm2yGw7BygWmRcbFhAlC,0.483,0.776,0.15,128.036
Froukje,Ik Haat Hem Voor Jou,70,2.58,2024-08-29,dutch indie,6vDxjNLrehdIkaHQ8nMkaF,0.604,0.863,0.266,139.951
Adam Port,Move,91,2.96,2024-06-07,melodic house,1BJJbSX6muJVF2AK7uH1x4,0.727,0.782,0.0563,119.992
Lost Frequencies,Black Friday (pretty like the sun),87,2.43,2024-07-19,belgian edm,4MSj19TwYBLgDFj3ddEeco,0.853,0.618,0.633,126.031
Billie Eilish,BIRDS OF A FEATHER,99,3.51,2024-05-17,art pop,6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,0.2,104.978
Sabrina Carpenter,Taste,96,2.62,2024-08-23,pop,5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,0.101,112.964
Ronnie Flex,Chin Chin,61,2.47,2024-09-19,dutch hip hop,7sEe6B2uzEziUaMAszvnF7,0.747,0.758,0.0321,131.733
KAROL G,Si Antes Te Hubiera Conocido,96,3.26,2024-06-21,reggaeton,6WatFBLVB0x077xWeoVc2k,0.924,0.668,0.446,128.027
Disturbed,The Sound of Silence - CYRIL Remix,86,3.09,2024-02-02,alternative metal,1LY3GhF0zxIVgbYEQjCbUO,0.68,0.721,0.123,125.963
Sabrina Carpenter,Espresso,97,2.92,2024-04-12,pop,2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,0.107,103.969
Alex Warren,Carry You Home,85,2.78,2024-05-31,gen z singer-songwriter,4uzKAj0mIyYmyhsRRyPXaQ,0.525,0.66,0.468,123.787
LUNA,Dat Is Het Leven,66,2.98,2024-09-05,Geen genre beschikbaar,7DGeMF5q4UHXYyElvAiO2j,0.421,0.283,0.629,100.119
Shaboozey,A Bar Song (Tipsy),87,2.85,2024-05-31,modern country pop,5fZJQrFKWQLb7FpJXZ1g7K,0.722,0.706,0.072,80.969
Myles Smith,Stargazing,91,2.88,2024-05-10,singer-songwriter pop,3Vr3zh0r7ALn8VLqCiRR10,0.635,0.601,0.246,123.994
Ndotz,Embrace It,83,1.74,2024-08-23,chill drill,0io16MKpbeDIdYzmGpQaES,0.882,0.645,0.475,114.933
Hannah Mae,Ik Wil Dat Je Liegt,70,2.92,2024-05-23,dutch pop,6ifKXZTqAuLA35TGCVuGBU,0.688,0.513,0.536,106.984
HUGEL,I Adore You (feat. Daecolm),85,3.57,2024-07-19,deep house,5nPbKG04fhLkIAjcPFaZq7,0.704,0.787,0.00926,119.996
Linkin Park,The Emptiness Machine,93,3.17,2024-09-05,alternative metal,2PnlsTsOTLE5jnBnNe2K0A,0.466,0.872,0.0156,184.115
Robert van Hemert,"Zoet, Zout, Zuur",70,3.01,2023-05-19,kermis,4xTjO1NgHBEbINFUQ9Kgao,0.577,0.882,0.0172,136.168
Mark Ambor,Belong Together,81,2.47,2024-08-16,singer-songwriter pop,0rtDE9zfXbamTlRUSwY7zy,0.646,0.668,0.491,90.97
Chappell Roan,"Good Luck, Babe!",97,3.64,2024-04-05,indie pop,0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,0.0502,116.712
BL3SS,Kisses (feat. bbyclose),84,2.3,2024-03-22,Geen genre beschikbaar,1bJRd2ey6ER7neSxZwYdAG,0.793,0.779,0.279,142.002
Teddy Swims,Lose Control,91,3.51,2023-09-15,Geen genre beschikbaar,17phhZDn6oGtzMe56NuWvj,0.561,0.604,0.199,159.92
Roxy Dekker,Sugardaddy,71,2.2,2024-04-04,lustrum,2hIFhSltVcRU1oJ3kf8Zy4,0.84,0.856,0.215,127.046
Dasha,Austin (Boots Stop Workin'),90,2.86,2024-02-16,Geen genre beschikbaar,2uqYupMHANxnwgeiXTZXzd,0.756,0.672,0.464,114.935
Post Malone,I Had Some Help (Feat. Morgan Wallen),86,2.97,2024-08-15,dfw rap,5IZXB5IKAD2qlvTPJYDCFB,0.644,0.874,0.0113,128.017
Benson Boone,Beautiful Things,91,3.01,2024-04-05,singer-songwriter pop,3xkHsmpQCBMytMJNiDf3Ii,0.472,0.471,0.151,105.029
Sabrina Carpenter,Please Please Please,95,3.11,2024-06-06,pop,5N3hjp1WNayUPZrA8kJmJP,0.669,0.586,0.274,107.071
Gigi Perez,Sailor Song,0,3.53,2024-07-26,bedroom pop,2262bWmqomIaJXwCRHr13j,0.494,0.413,0.682,94.938
Frenna,PRETTY GIRLS,60,2.42,2024-07-19,dutch hip hop,4oXMIvg935Nes381qstn5p,0.64,0.626,0.0385,187.805
David Guetta,I Don't Wanna Wait,89,2.49,2024-04-05,big room,331l3xABO0HMr1Kkyh2LZq,0.681,0.714,0.0375,129.976
Racoon,Oceaan,66,2.75,2013-03-15,dutch indie,7GWU6dQFjYF5YpsAUwZfGq,0.561,0.312,0.862,96.159
Bankzitters,Huisfeestje,70,2.5,2024-06-07,lustrum,6HfzAzEWhwo19n2jrJnM7k,0.849,0.909,0.0289,126.006
Emma Heesters,Contigo,67,2.92,2024-06-14,channel pop,5dDTrE9ePpX0nGY1naajL0,0.675,0.779,0.464,91.853
Donnie,Hier Mag Alles,67,3.26,2023-11-24,dutch hip hop,1sqe31TzOsjCeex1INgmsq,0.672,0.838,0.0334,139.978
Gracie Abrams,"I Love You, I'm Sorry",90,2.62,2024-06-21,alt z,51rfRCiUSvxXlCSCfIztBy,0.53,0.406,0.656,115.94
CYRIL,Stumblin' In,88,3.56,2023-11-10,Geen genre beschikbaar,0h3Xy4V4apMraB5NuM8U7Z,0.875,0.518,0.0638,126.089
Lord Huron,The Night We Met,90,3.47,2015-04-06,indie folk,3hRV0jL3vUpRrcy398teAU,0.448,0.369,0.968,174.097
Benson Boone,Slow It Down,89,2.7,2024-04-05,singer-songwriter pop,51eSHglvG1RJXtL3qI5trr,0.432,0.583,0.174,181.489
Charli xcx,Guess featuring Billie Eilish,92,2.39,2024-08-01,art pop,3WOhcATHxK2SLNeP5W3v1v,0.776,0.667,0.0146,130.019
Afro Bros,Vannacht Slaap Jij Bij Mij,67,2.48,2024-06-28,basshall,7gv9Ky47iGM6LRp5aO5tkt,0.92,0.721,0.0594,97.945
Yade Lauren,PGS,66,2.52,2024-08-02,dutch rap pop,0QfxzAZP55JCJGDFEuYFnj,0.65,0.841,0.18,102.505
Roxy Dekker,Satisfyer,67,2.02,2023-11-10,lustrum,0Uy5VFlvsosR3YZbpsxYFh,0.795,0.632,0.0312,124.058
Kleine John,Samen (Niet Alleen),66,2.42,2024-05-16,dutch rap pop,0lDTAuwGNLvOiavYF9GmFe,0.593,0.806,0.011,188.351
J.FIZ,Vaag,60,2.23,2024-08-14,Geen genre beschikbaar,6QZRtzAAHjWQ5NOCBflPNP,0.836,0.441,0.511,130.105
Mart Hoogkamer,Ik Spaar Geen Centen,60,2.78,2024-09-13,carnaval,6h6hSyEABJubJdCn7Y8hEE,0.758,0.911,0.0412,120.02
